Ημερομηνία,PM10 (μgr/m3),PM10 Valid,PM2.5 (μgr/m3),PM2.5 Valid,Measurement Duration,source_file,sheet_name,PM10 (μgr/Nm3),PM2.5 (μgr/Nm3)
2014-03-01,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-03,34.5,24.0
2014-03-02,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-03,21.6,17.5
2014-03-03,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-03,20.4,16.9
2014-03-04,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-03,38.9,26.3
2014-03-05,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-03,38.7,26.1
2014-03-06,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-03,64.6,39.9
2014-03-07,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-03,31.4,22.4
2014-03-08,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-03,46.0,30.0
2014-03-09,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-03,23.7,18.5
2014-03-10,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-03,23.1,18.2
2014-03-11,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-03,25.7,19.5
2014-03-12,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-03,91.6,54.3
2014-03-13,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-03,78.7,47.4
2014-03-14,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-03,74.2,45.0
2014-03-15,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-03,77.9,47.0
2014-03-16,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-03,47.4,30.7
2014-03-17,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-03,83.0,49.7
2014-03-18,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-03,134.8,77.5
2014-03-19,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-03,149.1,85.2
2014-03-20,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-03,38.9,26.3
2014-03-21,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-03,68.5,42.0
2014-03-22,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-03,55.5,35.0
2014-03-23,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-03,68.3,41.8
2014-03-24,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-03,57.3,36.0
2014-03-25,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-03,23.3,18.3
2014-03-26,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-03,44.2,29.0
2014-03-27,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-03,52.9,33.6
2014-03-28,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-03,29.9,21.6
2014-03-29,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-03,24.9,19.1
2014-03-30,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-03,37.8,25.7
2014-03-31,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-03,46.5,30.2
2014-04-01,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-04,67.3,41.3
2014-04-02,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-04,63.9,39.5
2014-04-03,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-04,49.3,31.7
2014-04-04,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-04,49.6,31.9
2014-04-05,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-04,27.3,20.3
2014-04-06,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-04,38.5,26.0
2014-04-07,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-04,40.8,27.3
2014-04-08,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-04,33.8,23.6
2014-04-09,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-04,39.0,26.3
2014-04-10,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-04,32.7,23.0
2014-04-11,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-04,25.2,19.2
2014-04-12,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-04,25.6,19.4
2014-04-13,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-04,28.9,21.1
2014-04-14,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-04,35.4,24.4
2014-04-15,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-04,38.0,25.8
2014-04-16,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-04,28.0,20.6
2014-04-17,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-04,19.4,16.4
2014-04-18,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-04,8.0,12.9
2014-04-19,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-04,19.7,16.6
2014-04-20,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-04,26.4,19.8
2014-04-21,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-04,22.6,17.9
2014-04-22,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-04,37.4,25.5
2014-04-23,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-04,38.8,26.2
2014-04-24,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-04,55.0,34.8
2014-04-25,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-04,24.1,18.7
2014-04-26,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-04,26.8,20.0
2014-04-27,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-04,25.1,19.2
2014-04-28,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-04,37.6,25.6
2014-04-29,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-04,60.6,37.7
2014-04-30,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-04,23.7,18.5
2014-05-01,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-05,34.5,24.0
2014-05-02,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-05,21.6,17.5
2014-05-03,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-05,20.4,16.9
2014-05-04,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-05,38.9,26.3
2014-05-05,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-05,38.7,26.1
2014-05-06,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-05,64.6,39.9
2014-05-07,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-05,31.4,22.4
2014-05-08,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-05,46.0,30.0
2014-05-09,,yes,,yes,24 hours,data_pm_2014.xlsx,PM-2014-05,23.7,18.5
